cluster_id,kelas_sawah,varietas,date,sensor,evi,ndvi
-2063126117,sawah,Rojolele Srinuk,19970418,Landsat-5,0.262574500902926,0.5324716972521215
-2063126117,sawah,Rojolele Srinuk,19970425,Landsat-5,0.30031025383797205,0.5416922191093654
-2063126117,sawah,Rojolele Srinuk,19970504,Landsat-5,0.4630239388612328,0.7299710845736423
-2063126117,sawah,Rojolele Srinuk,19970511,Landsat-5,0.3672751304932505,0.5789160908809624
-2063126117,sawah,Rojolele Srinuk,19970520,Landsat-5,0.5971474046249959,0.8055218173110621
-2063126117,sawah,Rojolele Srinuk,19970527,Landsat-5,0.4815178645612052,0.5994669004848503
-2063126117,sawah,Rojolele Srinuk,19970605,Landsat-5,0.5271931038817814,0.684180067823727
-2063126117,sawah,Rojolele Srinuk,19970612,Landsat-5,0.23765132120081967,0.5304847406211315
-2063126117,sawah,Rojolele Srinuk,19970628,Landsat-5,0.3017291791270024,0.5196278455635528
-2063126117,sawah,Rojolele Srinuk,19970714,Landsat-5,0.22714650458779195,0.36466643369859947
-2063126117,sawah,Rojolele Srinuk,19970723,Landsat-5,0.2125102018634751,0.3250653772212642
-2063126117,sawah,Rojolele Srinuk,19970730,Landsat-5,0.21285727106743446,0.3151397115231369
-2063126117,sawah,Rojolele Srinuk,19970815,Landsat-5,0.15330718845292868,0.30553896008135356
-2063126117,sawah,Rojolele Srinuk,19970831,Landsat-5,0.17153788940783554,0.3204742899340682
-2063126117,sawah,Rojolele Srinuk,19970916,Landsat-5,0.4217250624877634,0.6459231298272052
-2063126117,sawah,Rojolele Srinuk,19970925,Landsat-5,0.5846660735687291,0.7464230486415879
-2063126117,sawah,Rojolele Srinuk,19971103,Landsat-5,0.4407051564035181,0.4836445474612024
-2063126117,sawah,Rojolele Srinuk,19971230,Landsat-5,0.22700000042921434,0.36249746139665084
-2063126117,sawah,Rojolele Srinuk,19980122,Landsat-5,0.24067775208667427,0.4965869402428426
-2063126117,sawah,Rojolele Srinuk,19980223,Landsat-5,0.5142755261930323,0.8105341845238215
-2063126117,sawah,Rojolele Srinuk,19980327,Landsat-5,0.373739501900139,0.546922669047896
-2063126117,sawah,Rojolele Srinuk,19980421,Landsat-5,0.30146318763458757,0.4119137631969806
-2063126117,sawah,Rojolele Srinuk,19980507,Landsat-5,0.3064086363920206,0.5642616924092716
-2063126117,sawah,Rojolele Srinuk,19980530,Landsat-5,0.2009667826273966,0.4091279680267188
-2063126117,sawah,Rojolele Srinuk,19980608,Landsat-5,0.14063482482278053,0.2903166383723521
-2063126117,sawah,Rojolele Srinuk,19981021,Landsat-5,0.2376201956116182,0.3134737000143147
-2063126117,sawah,Rojolele Srinuk,19990720,Landsat-5,0.14650497590953165,0.30273042027614566
-2063126117,sawah,Rojolele Srinuk,19990729,Landsat-5,0.16869686604371498,0.35951093762965003
-2063126117,sawah,Rojolele Srinuk,19990805,Landsat-5,0.17822689135117475,0.3765310627776785
-2063126117,sawah,Rojolele Srinuk,19990813,Landsat-7,0.2565148078323901,0.49602088057834126
-2063126117,sawah,Rojolele Srinuk,19990814,Landsat-5,0.2980459793357764,0.5722053815127744
-2063126117,sawah,Rojolele Srinuk,19990821,Landsat-5,0.3681829329003328,0.6283532148550388
-2063126117,sawah,Rojolele Srinuk,19990830,Landsat-5,0.5444593325915028,0.7506429903386286
-2063126117,sawah,Rojolele Srinuk,19990906,Landsat-5,0.5230830419125789,0.7441589966947217
-2063126117,sawah,Rojolele Srinuk,19990907,Landsat-7,0.5784574383856078,0.7763667598465656
-2063126117,sawah,Rojolele Srinuk,19991001,Landsat-5,0.5031449539124471,0.6835981287756515
-2063126117,sawah,Rojolele Srinuk,19991008,Landsat-5,0.4359849717274491,0.586495406033975
-2063126117,sawah,Rojolele Srinuk,19991017,Landsat-5,0.5257064462152089,0.6810217473605151
-2063126117,sawah,Rojolele Srinuk,19991125,Landsat-5,0.17870601990574456,0.3790814195519032
-2063126117,sawah,Rojolele Srinuk,19991126,Landsat-7,0.20364558604072364,0.353780234075759
-2063126117,sawah,Rojolele Srinuk,20000402,Landsat-7,0.3451888414985873,0.5907747848129776
-2063126117,sawah,Rojolele Srinuk,20000426,Landsat-5,0.2415627767132682,0.3651758881296629
-2063126117,sawah,Rojolele Srinuk,20000511,Landsat-7,0.22560365642939392,0.3259149041380424
